No.,Object Name,RA,Dec,Object Type,cz (Velocity),Redshift (z),z flag,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra,ROW_IDX,ROW_NUM
57,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">NGC 4536</a>",188.612776,2.188235,G,1808,0.006031,SUN,908,16,276,98,53,12,84,112,111,27,56,56
58,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J195859.25-561527.7</a>",299.746881,-56.257704,G,12137,0.040485,SLS,47,1,31,7,5,4,13,11,2,1,57,57
59,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">FCCB 0602</a>",52.366227,-37.272632,G,19202,0.064051,SLS,60,0,36,12,5,2,26,23,2,1,58,58
60,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">ABELL 0194</a>",21.421765,-1.407940,GClstr,5390,0.017979,UUN,305,4,0,7,14,0,5,0,3,0,59,59
61,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">ABELL 0262</a>",28.193750,36.151944,GClstr,4860,0.016211,UUN,555,8,11,27,52,0,3,0,5,0,60,60
62,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">ABELL 0400</a>",44.414093,6.009466,GClstr,7281,0.024287,UUN,337,4,5,8,16,0,4,0,3,0,61,61
63,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">ABELL 0539</a>",79.154896,6.442958,GClstr,8710,0.029053,UUN,222,3,0,10,17,0,3,0,3,0,62,62
64,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">Hydra CLUSTER</a>",159.177958,-27.528583,GClstr,3714,0.012389,UUN,533,4,4,25,31,0,3,0,5,0,63,63
65,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">ABELL 1367</a>",176.156065,19.762455,GClstr,6562,0.021888,UUN,677,8,5,12,31,0,4,0,4,0,64,64
66,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">Coma Cluster</a>",194.953000,27.981000,GClstr,7194,0.023997,SUN,1828,7,32,22,60,0,10,2,11,0,65,65
67,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">ABELL 2634</a>",354.607083,27.012500,GClstr,9343,0.031165,UUN,406,6,6,16,27,0,1,0,6,0,66,66
68,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">ABELL 3381</a>",92.480804,-33.594246,GClstr,11358,0.037886,UUN,70,2,0,1,2,0,4,0,2,0,67,67
69,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">ABELL 3574</a>",207.333878,-30.308603,GClstr,4673,0.015587,UUN,102,3,0,4,7,0,3,0,2,0,68,68
70,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">ABELL 4038</a>",356.937667,-28.140611,GClstr,8950,0.029854,UUN,259,5,5,29,40,0,4,0,3,0,69,69
71,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">Fornax CLUSTER</a>",54.620833,-35.450278,GClstr,1425,0.004753,UUN,579,3,2,17,27,0,43,0,0,0,70,70
72,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">ABELL S0636</a>",157.497880,-35.326714,GClstr,2928,0.009767,SST,113,0,0,3,6,0,18,0,2,0,71,71
73,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">ABELL S0639</a>",160.141154,-46.194783,GClstr,6326,0.021100,SUN,28,4,0,1,1,0,3,0,1,0,72,72
74,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">ABELL S0753</a>",210.897110,-33.984242,GClstr,3957,0.013200,SUN,68,3,1,6,13,0,3,0,1,0,73,73
75,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">Virgo Cluster</a>",187.697167,12.338972,GClstr,1307,0.004360,UUN,1432,7,3,9,14,0,51,0,1,0,74,74
76,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">Pavo I GROUP</a>",304.549005,-70.888572,GGroup,4107,0.013700,UUN,35,0,1,2,2,0,1,0,0,0,75,75
77,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">Eridanus GROUP</a>",52.057389,-20.744385,GGroup,1670,0.005570,UUN,69,1,0,1,1,0,5,0,0,0,76,76
78,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">Dorado GROUP</a>",64.266443,-56.128476,GGroup,929,0.003099,SUN,49,1,0,1,1,0,3,0,0,0,77,77
79,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J100901.19-263836.3</a>",152.254981,-26.643423,G,13370,0.044598,SUN,51,0,33,8,6,2,16,15,2,0,78,78
80,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">GALEXASC J212817.31-613306.5</a>",322.072152,-61.551825,G,22484,0.075000,SUN,58,0,4,2,1,0,29,24,1,0,79,79
